"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","DAST Scan: No critical findings","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","Summary","",""
"","1","SEO: 100%","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","passed","Tue Feb 17 18:23:06 UTC 2026","","Scores","",""
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","failed","Tue Feb 17 18:23:06 UTC 2026","","Failed Audits","",""
"","1","Performance: 90%","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","passed","Tue Feb 17 18:23:06 UTC 2026","","Scores","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Tue Feb 17 18:23:33 UTC 2026","passed","Tue Feb 17 18:23:33 UTC 2026","","Tool Status","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","Alerts","",""
"","1","[INFORMATIONAL] Information Disclosure - Suspicious Comments","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","Alerts","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","Alerts","",""
"","1","Medium Risk: 0","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","By Risk Level","",""
"","1","High Risk: 0","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","By Risk Level","",""
"","1","Low Risk: 3","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Render blocking requests","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","failed","Tue Feb 17 18:23:06 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","failed","Tue Feb 17 18:23:06 UTC 2026","","Failed Audits","",""
"","1","Accessibility: 100%","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","passed","Tue Feb 17 18:23:06 UTC 2026","","Scores","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","Alerts","",""
"","1","npm audit: Not run","Security Dashboard","Tue Feb 17 18:23:33 UTC 2026","broken","Tue Feb 17 18:23:33 UTC 2026","","Tool Status","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","passed","Tue Feb 17 18:23:06 UTC 2026","","Summary","",""
"","1","Best Practices: 100%","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","passed","Tue Feb 17 18:23:06 UTC 2026","","Scores","",""
"","1","Security Posture: Clean","Security Dashboard","Tue Feb 17 18:23:33 UTC 2026","passed","Tue Feb 17 18:23:33 UTC 2026","","Overview","",""
"","1","CodeQL: Not run","Security Dashboard","Tue Feb 17 18:23:33 UTC 2026","broken","Tue Feb 17 18:23:33 UTC 2026","","Tool Status","",""
"","1","SonarCloud: Not run","Security Dashboard","Tue Feb 17 18:23:33 UTC 2026","broken","Tue Feb 17 18:23:33 UTC 2026","","Tool Status","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","failed","Tue Feb 17 18:23:06 UTC 2026","","Failed Audits","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","Alerts","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","failed","Tue Feb 17 18:23:06 UTC 2026","","Failed Audits","",""
"","1","Gitleaks: Not run","Security Dashboard","Tue Feb 17 18:23:33 UTC 2026","broken","Tue Feb 17 18:23:33 UTC 2026","","Tool Status","",""
"","1","[INFORMATIONAL] Storable and Cacheable Content","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","Alerts","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Tue Feb 17 18:23:06 UTC 2026","failed","Tue Feb 17 18:23:06 UTC 2026","","Failed Audits","",""
"","1","Informational Risk: 4","OWASP ZAP","Tue Feb 17 18:22:17 UTC 2026","passed","Tue Feb 17 18:22:17 UTC 2026","","By Risk Level","",""
