"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","[FAIL] Render blocking requests","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","Low Risk: 3","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","By Risk Level","",""
"","1","Accessibility: 100%","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","passed","Wed Jul 08 19:22:42 UTC 2026","","Scores","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Wed Jul 08 19:23:09 UTC 2026","passed","Wed Jul 08 19:23:09 UTC 2026","","Tool Status","",""
"","1","CodeQL: Not run","Security Dashboard","Wed Jul 08 19:23:09 UTC 2026","broken","Wed Jul 08 19:23:09 UTC 2026","","Tool Status","",""
"","1","High Risk: 0","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","Alerts","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","Alerts","",""
"","1","[INFORMATIONAL] Storable and Cacheable Content","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","Alerts","",""
"","1","[FAIL] Minimize main-thread work","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","Informational Risk: 3","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Max Potential First Input Delay","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","npm audit: Not run","Security Dashboard","Wed Jul 08 19:23:09 UTC 2026","broken","Wed Jul 08 19:23:09 UTC 2026","","Tool Status","",""
"","1","SonarCloud: Not run","Security Dashboard","Wed Jul 08 19:23:09 UTC 2026","broken","Wed Jul 08 19:23:09 UTC 2026","","Tool Status","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","Performance: 81%","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","passed","Wed Jul 08 19:22:42 UTC 2026","","Scores","",""
"","1","Gitleaks: Not run","Security Dashboard","Wed Jul 08 19:23:09 UTC 2026","broken","Wed Jul 08 19:23:09 UTC 2026","","Tool Status","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","Alerts","",""
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","Alerts","",""
"","1","Best Practices: 100%","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","passed","Wed Jul 08 19:22:42 UTC 2026","","Scores","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","passed","Wed Jul 08 19:22:42 UTC 2026","","Summary","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","Medium Risk: 0","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","By Risk Level","",""
"","1","Security Posture: Clean","Security Dashboard","Wed Jul 08 19:23:09 UTC 2026","passed","Wed Jul 08 19:23:09 UTC 2026","","Overview","",""
"","1","[FAIL] First Contentful Paint","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","failed","Wed Jul 08 19:22:42 UTC 2026","","Failed Audits","",""
"","1","DAST Scan: No critical findings","OWASP ZAP","Wed Jul 08 19:21:46 UTC 2026","passed","Wed Jul 08 19:21:46 UTC 2026","","Summary","",""
"","1","SEO: 100%","Lighthouse","Wed Jul 08 19:22:42 UTC 2026","passed","Wed Jul 08 19:22:42 UTC 2026","","Scores","",""
