"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Medium Risk: 0","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","By Risk Level","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Thu May 21 18:42:35 UTC 2026","failed","Thu May 21 18:42:35 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Render blocking requests","Lighthouse","Thu May 21 18:42:35 UTC 2026","failed","Thu May 21 18:42:35 UTC 2026","","Failed Audits","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Thu May 21 18:43:01 UTC 2026","passed","Thu May 21 18:43:01 UTC 2026","","Tool Status","",""
"","1","Low Risk: 3","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","By Risk Level","",""
"","1","High Risk: 0","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","By Risk Level","",""
"","1","Best Practices: 100%","Lighthouse","Thu May 21 18:42:35 UTC 2026","passed","Thu May 21 18:42:35 UTC 2026","","Scores","",""
"","1","Informational Risk: 3","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","By Risk Level","",""
"","1","CodeQL: Not run","Security Dashboard","Thu May 21 18:43:01 UTC 2026","broken","Thu May 21 18:43:01 UTC 2026","","Tool Status","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Thu May 21 18:42:35 UTC 2026","failed","Thu May 21 18:42:35 UTC 2026","","Failed Audits","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","Alerts","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Thu May 21 18:42:35 UTC 2026","passed","Thu May 21 18:42:35 UTC 2026","","Summary","",""
"","1","Accessibility: 100%","Lighthouse","Thu May 21 18:42:35 UTC 2026","passed","Thu May 21 18:42:35 UTC 2026","","Scores","",""
"","1","DAST Scan: No critical findings","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","Summary","",""
"","1","SEO: 100%","Lighthouse","Thu May 21 18:42:35 UTC 2026","passed","Thu May 21 18:42:35 UTC 2026","","Scores","",""
"","1","Security Posture: Clean","Security Dashboard","Thu May 21 18:43:01 UTC 2026","passed","Thu May 21 18:43:01 UTC 2026","","Overview","",""
"","1","Gitleaks: Not run","Security Dashboard","Thu May 21 18:43:01 UTC 2026","broken","Thu May 21 18:43:01 UTC 2026","","Tool Status","",""
"","1","Performance: 90%","Lighthouse","Thu May 21 18:42:35 UTC 2026","passed","Thu May 21 18:42:35 UTC 2026","","Scores","",""
"","1","[INFORMATIONAL] Storable but Non-Cacheable Content","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","Alerts","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Thu May 21 18:42:35 UTC 2026","failed","Thu May 21 18:42:35 UTC 2026","","Failed Audits","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","Alerts","",""
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Thu May 21 18:42:35 UTC 2026","failed","Thu May 21 18:42:35 UTC 2026","","Failed Audits","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Thu May 21 18:42:35 UTC 2026","failed","Thu May 21 18:42:35 UTC 2026","","Failed Audits","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","Alerts","",""
"","1","npm audit: Not run","Security Dashboard","Thu May 21 18:43:01 UTC 2026","broken","Thu May 21 18:43:01 UTC 2026","","Tool Status","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Thu May 21 18:41:48 UTC 2026","passed","Thu May 21 18:41:48 UTC 2026","","Alerts","",""
"","1","SonarCloud: Not run","Security Dashboard","Thu May 21 18:43:01 UTC 2026","broken","Thu May 21 18:43:01 UTC 2026","","Tool Status","",""
