"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","[FAIL] Render blocking requests","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","failed","Fri Apr 10 18:21:17 UTC 2026","","Failed Audits","",""
"","1","SonarCloud: Not run","Security Dashboard","Fri Apr 10 18:21:46 UTC 2026","broken","Fri Apr 10 18:21:46 UTC 2026","","Tool Status","",""
"","1","[FAIL] Reduce unused CSS","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","failed","Fri Apr 10 18:21:17 UTC 2026","","Failed Audits","",""
"","1","Performance: 90%","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","passed","Fri Apr 10 18:21:17 UTC 2026","","Scores","",""
"","1","[FAIL] Reduce unused JavaScript","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","failed","Fri Apr 10 18:21:17 UTC 2026","","Failed Audits","",""
"","1","Lighthouse Audit: All categories passed","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","passed","Fri Apr 10 18:21:17 UTC 2026","","Summary","",""
"","1","Medium Risk: 0","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","By Risk Level","",""
"","1","OWASP ZAP: Clean","Security Dashboard","Fri Apr 10 18:21:46 UTC 2026","passed","Fri Apr 10 18:21:46 UTC 2026","","Tool Status","",""
"","1","Gitleaks: Not run","Security Dashboard","Fri Apr 10 18:21:46 UTC 2026","broken","Fri Apr 10 18:21:46 UTC 2026","","Tool Status","",""
"","1","[LOW] Permissions Policy Header Not Set","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","Alerts","",""
"","1","npm audit: Not run","Security Dashboard","Fri Apr 10 18:21:46 UTC 2026","broken","Fri Apr 10 18:21:46 UTC 2026","","Tool Status","",""
"","1","Informational Risk: 3","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","By Risk Level","",""
"","1","[INFORMATIONAL] Modern Web Application","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","Alerts","",""
"","1","Security Posture: Clean","Security Dashboard","Fri Apr 10 18:21:46 UTC 2026","passed","Fri Apr 10 18:21:46 UTC 2026","","Overview","",""
"","1","[INFORMATIONAL] Storable and Cacheable Content","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","Alerts","",""
"","1","DAST Scan: No critical findings","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","Summary","",""
"","1","[LOW] Timestamp Disclosure - Unix","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","Alerts","",""
"","1","[FAIL] Network dependency tree","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","failed","Fri Apr 10 18:21:17 UTC 2026","","Failed Audits","",""
"","1","Low Risk: 3","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","By Risk Level","",""
"","1","Accessibility: 100%","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","passed","Fri Apr 10 18:21:17 UTC 2026","","Scores","",""
"","1","[FAIL] Eliminate render-blocking resources","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","failed","Fri Apr 10 18:21:17 UTC 2026","","Failed Audits","",""
"","1","SEO: 100%","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","passed","Fri Apr 10 18:21:17 UTC 2026","","Scores","",""
"","1","[FAIL] Largest Contentful Paint element","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","failed","Fri Apr 10 18:21:17 UTC 2026","","Failed Audits","",""
"","1","High Risk: 0","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","By Risk Level","",""
"","1","[LOW] Cross-Origin-Embedder-Policy Header Missing or Invalid","OWASP ZAP","Fri Apr 10 18:20:21 UTC 2026","passed","Fri Apr 10 18:20:21 UTC 2026","","Alerts","",""
"","1","Best Practices: 100%","Lighthouse","Fri Apr 10 18:21:17 UTC 2026","passed","Fri Apr 10 18:21:17 UTC 2026","","Scores","",""
"","1","CodeQL: Not run","Security Dashboard","Fri Apr 10 18:21:46 UTC 2026","broken","Fri Apr 10 18:21:46 UTC 2026","","Tool Status","",""
