"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","ソフトドロップでスコアが加算されること","ユニットテスト","Mon Mar 30 20:19:37 UTC 2026","passed","Mon Mar 30 20:19:37 UTC 2026","","Client","",""
"","1","セッションが存在しない場合は何もしないこと","ユニットテスト","Mon Mar 30 20:19:32 UTC 2026","passed","Mon Mar 30 20:19:32 UTC 2026","","Server","",""
"","4","初期状態が正しいこと","ユニットテスト","Mon Mar 30 20:19:44 UTC 2026","passed","Mon Mar 30 20:19:44 UTC 2026","","Client","",""
"","1","満員ルームで Error が返ること","ユニットテスト","Mon Mar 30 20:19:33 UTC 2026","passed","Mon Mar 30 20:19:33 UTC 2026","","Server","",""
"","1","all values are positive","ユニットテスト","Mon Mar 30 20:19:13 UTC 2026","passed","Mon Mar 30 20:19:13 UTC 2026","","Shared","",""
"","4","スコアが正しく表示されること","ユニットテスト","Mon Mar 30 20:19:41 UTC 2026","passed","Mon Mar 30 20:19:41 UTC 2026","","Client","",""
"","3","スコアが更新できること","ユニットテスト","Mon Mar 30 20:19:32 UTC 2026","passed","Mon Mar 30 20:19:32 UTC 2026","","Server","",""
"","0","drop scores are positive","ユニットテスト","Mon Mar 30 20:19:13 UTC 2026","passed","Mon Mar 30 20:19:13 UTC 2026","","Shared","",""
"","1","タイムアウトで winner が正しく設定されること","ユニットテスト","Mon Mar 30 20:19:32 UTC 2026","passed","Mon Mar 30 20:19:32 UTC 2026","","Server","",""
"","1","切断で player.disconnect() が呼ばれること","ユニットテスト","Mon Mar 30 20:19:33 UTC 2026","passed","Mon Mar 30 20:19:33 UTC 2026","","Server","",""
"","1","handleAction: current が null のとき早期リターンすること","ユニットテスト","Mon Mar 30 20:19:37 UTC 2026","passed","Mon Mar 30 20:19:37 UTC 2026","","Client","",""
"","1","Finished 状態のルームでの切断で OpponentDisconnected(timeout=0) が送られること","ユニットテスト","Mon Mar 30 20:19:33 UTC 2026","passed","Mon Mar 30 20:19:33 UTC 2026","","Server","",""
"","1","Gitleaks: Not run","Security Dashboard","Mon Mar 30 20:20:25 UTC 2026","broken","Mon Mar 30 20:20:25 UTC 2026","","Tool Status","",""
"","9","正常な CreateRoom → RoomCreated フローが動くこと","ユニットテスト","Mon Mar 30 20:19:33 UTC 2026","passed","Mon Mar 30 20:19:33 UTC 2026","","Server","",""
"","8","BothReady で seed が useGameStore に保存されること","ユニットテスト","Mon Mar 30 20:19:42 UTC 2026","passed","Mon Mar 30 20:19:42 UTC 2026","","Client","",""
"","0","returns false on empty field","ユニットテスト","Mon Mar 30 20:19:40 UTC 2026","passed","Mon Mar 30 20:19:40 UTC 2026","","Client","",""
"","1","Security Posture: 7 finding(s) across 1 tool(s)","Security Dashboard","Mon Mar 30 20:20:25 UTC 2026","failed","Mon Mar 30 20:20:25 UTC 2026","","Overview","",""
